ID,Title,Author,Year,Format,File
1,Negeri Para Bedebah,Tere liye,2012,PDF,ebook/Negeri_Para_Bedebah.pdf
2,Aksi Massa,Tan Malaka,1926,PDF,ebook/Aksi Massa.pdf
3,Negeri Di Ujung Tanduk,Tere Liye,2013,PDF,ebook/Negeri Di Ujung Tanduk.pdf
4,Madilog,Tan Malaka,1943,PDF,ebook/Madilog.pdf
5,Laut Becerita,Leila S. Chudori,2017,PDF,ebook/Laut Bercerita.pdf
6,Pulang,Tere Liye,2015,PDF,ebook/Pulang.pdf
7,Bumi Manusia,Pramoedya Ananta Toer,1980,PDF,ebook/Bumi Manusia.pdf
8,Gerpolek,Tan Malaka,1948,PDF,ebook/Gerpolek.pdf
9,Anak semua bangsa,Pramoedya Ananta Toer,1980,PDF,ebook/Anak semua bangsa.pdf
10,Zaman peralihan,Soe Hok Gie,1966,PDF,ebook/Zaman peralihan.pdf
11,Beyond the bookshelf virtual reality,Tengku Siti Meriam,2025,PDF,ebook/Beyond the bookshelf virtual reality.pdf
